제목,날짜,신문사,링크
27일부터 등교인데… 강서 미술학원서 6살 유치원생 확진,2020.05.25,세계일보,http://www.segye.com/content/html/2020/05/25/20200525513210.html?OutUrl=naver
서울 송파‧강남·영등포·양천구 32개교에 휴업 명령(종합),2020.02.07,뉴스1,http://news1.kr/articles/?3836706
"""쉬는 시간 가장 걱정""…27일 초등생 등교 앞두고 학부모·교사 우려 커져",2020.05.25,아시아투데이,http://www.asiatoday.co.kr/view.php?key=20200525010013500
1300명 일하는 쿠팡 물류센터서 3명 확진 ‘비상’,2020.05.26,서울신문,https://www.seoul.co.kr/news/newsView.php?id=20200526004009&wlog_tag3=naver
[명단] 신종코로나 환자 방문 중랑·성북구 학교 42곳 휴업명령,2020.02.05,국민일보,http://news.kmib.co.kr/article/view.asp?arcid=0014204887&code=61121411&cp=nv
휴업 학교 명단 감추는 교육부…들쭉날쭉 정보에 학부모 불안,2020.02.09,연합뉴스,http://yna.kr/AKR20200207132700004?did=1195m
오늘 5개 시·도 383개교 등교 못해…제주 14개교 중지,2020.07.17,뉴시스,http://www.newsis.com/view/?id=NISX20200717_0001098946&cID=10201&pID=10200
송파서 확진자가… 인근 초교 13곳 최대 2주 쉰다,2020.02.07,국민일보,http://news.kmib.co.kr/article/view.asp?arcid=0014212684&code=61171811&cp=nv
처형-처남도… 구리 일가족 7명 잇단 확진,2면1단  2020,동아일보,https://www.donga.com/news/article/all/20200528/101247088/1
'개강 연기' 권고…서울 일부 학교 '긴급 휴업',2020.02.05,MBC,https://imnews.imbc.com/replay/2020/nwdesk/article/5657834_32524.html
5차 2명 6차 12명…N차감염 본격화,2020.05.26,뉴스토마토,http://www.newstomato.com/ReadNews.aspx?no=974258
직원·손님·가족까지 성동구 음식점에서만 5·6·7차 감염 19건(종합),2020.05.27,뉴스1,https://www.news1.kr/articles/?3946668
충북 옥천서 일가족 3명 코로나19 확진,2020.08.20,세계일보,http://www.segye.com/content/html/2020/08/20/20200820514297.html?OutUrl=naver
'신종 코로나' 서울 송파·강동구 초교 3곳 긴급 휴업,2020.02.06,노컷뉴스,https://www.nocutnews.co.kr/news/5284769
"신종 코로나 우려…송파 가락·해누리·가원초, 강동 강명초·중 긴급 휴업",2020.02.06,중앙일보,https://news.joins.com/article/olink/23293883
"조희연 ""신종코로나 확진자 동선 근처 학교에 과감한 휴업조치""",2020.02.06,연합뉴스,http://yna.kr/AKR20200206060500004?did=1195m
"신종 코로나, 17번째 확진자와 접촉한 학생 재학 중인 부산 초등학교…이틀 동...",2020.02.06,뉴스인사이드,http://www.newsinside.kr/news/articleView.html?idxno=1061864
[서울]5·6차 감염 확산...강서 학원강사도 확진,2020.05.25,SK브로드밴드,http://ch1.skbroadband.com/content/view?parent_no=24&content_no=54&p_no=102945
서울 중랑·성북 휴업명령…각 대학도 비상,2020.02.05,연합뉴스TV,http://www.yonhapnewstv.co.kr/MYH20200205018200038/?did=1825m
'개강 연기' 권고…서울 일부 학교 '긴급 휴업',2020.02.06,MBC,https://imnews.imbc.com/replay/2020/nw1700/article/5658173_32510.html
"전국 휴업 학교 600곳 육박…""돌봄 공백 없게 최선""",2020.02.06,연합뉴스TV,http://www.yonhapnewstv.co.kr/MYH20200206016600038/?did=1825m
국내 코로나19 확진자 16명↑…나흘 만에 10명대로,2020.05.25,노컷뉴스,https://www.nocutnews.co.kr/news/5348962
"녹색병원, 미등록 이주아동 건강권 보장 나섰다",2020.09.24,매일노동뉴스,http://www.labortoday.co.kr/news/articleView.html?idxno=166765
"서울교육청 ""고교 공유캠퍼스·중1 자유학년제 전면 도입""",2020.01.02,뉴시스,http://www.newsis.com/view/?id=NISX20191231_0000876179&cID=10205&pID=10200
"서울 코로나19 확진자 628명…""스마트폰 임대 및 체온계 지원""(종합)",2020.04.22,뉴시스,http://www.newsis.com/view/?id=NISX20200422_0001002274&cID=14001&pID=14000
"코로나 기승에 불안한 수도권…""등교 멈춰야"" 소수 의견도",2020.06.08,뉴스1,https://www.news1.kr/articles/?3958936
"21대 국회, 불자의원 31명 입성 예상",2020.04.16,뉴스렙,http://www.newsrep.co.kr/news/articleView.html?idxno=120950
[신종 코로나바이러스 감염증 확산 우려] 국내 확진자 4명 추가 … 중국인 관...,2020.02.06,내일신문,http://www.naeil.com/news_view/?id_art=339832
"여성만 80%, 임대 아파트로 간 그들은 왜 홀로 남았나 [공공임대주택-구멍뚫린...",2019.10.16,경향신문,http://news.khan.co.kr/kh_news/khan_art_view.html?artid=201910162056005&code=940100
서울 유치원 교사 1명·고교생 1명 추가 확진…총 8명,2020.03.13,뉴시스,http://www.newsis.com/view/?id=NISX20200313_0000954450&cID=10205&pID=10200
병동에 모여 앉아 문제 풀던 학생들…병원·학교 함께한다는 희망 줬지요,24면   2020,서울신문,https://www.seoul.co.kr/news/newsView.php?id=20200108024001&wlog_tag3=naver
[속보] 서울 성동구서 11명 무더기 확진…이태원 클럽 n차 감염,2020.05.26,헤럴드경제,http://news.heraldcorp.com/view.php?ud=20200526000552
"조희연 ""확진자 동선 1Km 기준 과감하게 학교 휴업""",2020.02.06,뉴시스,http://www.newsis.com/view/?id=NISX20200206_0000910455&cID=10205&pID=10200
"박원순 ""확진자 동선 학교·유치원 방역…'클린존' 만든다""(종합)",2020.02.06,뉴스1,http://news1.kr/articles/?3834947
"비만 예방, 함께라면 할 수 있다",2019.10.11,뉴스렙,http://www.newsrep.co.kr/news/articleView.html?idxno=92638
강서구 미술학원 강사 확진…인근 서울공진초 25일 돌봄 등 긴급 등교중지(종...,2020.05.24,뉴시스,http://www.newsis.com/view/?id=NISX20200524_0001035146&cID=14001&pID=14000
조희연 “국·공립 유치원 40%까지 확대할 것” [원희복의 인물탐구],2019.05.11,경향신문,http://news.khan.co.kr/kh_news/khan_art_view.html?artid=201905111129001&code=940100
"서울 42개 유치원·초·중·고 휴업, 대학 개강 연기",2020.02.06,국민일보,http://news.kmib.co.kr/article/view.asp?arcid=0924121572&code=11131300&cp=nv
"""옆 학교는 쉬는데 우리 학교는?"" … 들쭉날쭉 휴업안내에 불만 속출",2020.02.10,아시아경제,https://view.asiae.co.kr/article/2020021011515707588
자사고·외국어고 일반학교 전환 2022년까지 최소 5개교 추진,25면1단  201,파이낸셜뉴스,http://www.fnnews.com/news/201811071925325376
갈 곳 없어… 코로나 위험에도 지역센터 찾는 아이·노인들,2면1단  2020,조선일보,https://news.chosun.com/site/data/html_dir/2020/03/11/2020031100214.html?utm_source=naver&utm_medium=original&utm_campaign=news
"""19·20번 동선""…서울시교육청, 송파·영등포 등 32개 학교 휴업명령",2020.02.07,머니투데이,http://news.mt.co.kr/mtview.php?no=2020020716534459751
교육부 “개강 4주 이내 연기를” 대학들에 권고 [‘신종 코로나’ 확산],2020.02.05,경향신문,http://news.khan.co.kr/kh_news/khan_art_view.html?artid=202002052147005&code=940401
