제목,날짜,신문사,링크
[초등학생 돌봄 틈새 메운다 1 │서울 중구 '모든아이 돌봄교실'] 학교 빈 교...,2019.06.03,내일신문,http://www.naeil.com/news_view/?id_art=315022
"인천 중구, 겨울 한파 물리치는 생활체육교실 운영",2019.12.13,이뉴스투데이,http://www.enewstoday.co.kr/news/articleView.html?idxno=1355338
중구 ‘우리동네키움센터’ 2·3호 개소,2면1단  2020,세계일보,http://www.segye.com/content/html/2020/01/08/20200108518278.html?OutUrl=naver
"내년, 초등 돌봄교실 지자체가 운영.. 학교는 교실 제공",2020.08.11,에듀프레스,http://www.edupress.kr/news/articleView.html?idxno=5907
중구 직영 돌봄교실 서울광희·남산·청구초도 가세,2019.11.02,아시아경제,https://view.asiae.co.kr/article/2019110223073646912
"울산 중구, 민간업체와 아동 돌봄서비스 위·수탁 협약",2020.03.26,뉴스1,https://www.news1.kr/articles/?3887223
"“엄마 언제 와”…맞벌이 초등생 돌봄 공백, 기초단체가 메운다",2019.04.18,경향신문,http://news.khan.co.kr/kh_news/khan_art_view.html?artid=201904182116005&code=620101
"[울산소식] 중구, 사회복지시설 지도 제작 등",2017.06.07,뉴시스,http://www.newsis.com/view/?id=NISX20170607_0000005747&cID=10814&pID=10800
"울산시, 2022년까지 초등생 돌봄센터 30개소로 확대",2020.05.14,뉴스1,https://www.news1.kr/articles/?3934938
서울 대왕초등학교 병설유치원 교사 재확진…유치원생 24명 등 40여명 접촉,2020.05.13,부산일보,http://www.busan.com/view/busan/view.php?code=2020051320402760707
"교육부, 학년별 '맞춤' 초등돌봄 서비스 제공",2017.01.10,뉴스핌,http://www.newspim.com/news/view/20170110000209
"박태완 울산 중구청장, 민선7기 공약 이행률 92.3%",2020.02.17,뉴스1,http://news1.kr/articles/?3844661
"중구, 전국 자치구 최초 초등학교에 돌봄교실 운영",2019.02.01,한겨레,http://www.seouland.com/arti/society/society_general/4610.html
방과후 공백 메운 돌봄교실… 중구의 ‘육아 실험’ 통했다,2019.12.04,서울신문,https://www.seoul.co.kr/news/newsView.php?id=20191204018002&wlog_tag3=naver
"인천하늘초 학생들, 인천중구청 방문",2018.07.20,중도일보,http://www.joongdo.co.kr/main/view.php?key=20180720010009427
"[단독] 덕수초등학교,'석면철거' 문제로 임시방학 결정",2018.03.27,세계일보,http://www.segye.com/content/html/2018/03/27/20180327009341.html?OutUrl=naver
"서울중부교육청-중구청, 전국 최초 '구청 직영 2호 초등돌봄교실' 운영",2019.07.07,에듀인뉴스,http://www.eduinnews.co.kr/news/articleView.html?idxno=16720
"서울 중구, 지난해 값진 결실이 새해 구정 밑거름으로",2020.01.04,서울신문,https://www.seoul.co.kr/news/newsView.php?id=20200103500047&wlog_tag3=naver
전국 어린이집·유치원·초등학교 7시까지 연장운영,2020.03.06,CMB대전방송,http://www.cmbdj.co.kr/ab-991-16465
"울산 남구, 교실 활용한 초등생 온종일 돌봄사업 추진",2019.12.16,뉴시스,http://www.newsis.com/view/?id=NISX20191216_0000861907&cID=10899&pID=10800
'6일 오갈데가 없어요'…부산 초등 120곳 '돌봄교실'운영,2016.05.03,연합뉴스,http://app.yonhapnews.co.kr/YNA/Basic/SNS/r.aspx?c=AKR20160503094300051&did=1195m
"조희연 교육감, 서울광희초·남산초·청구초 '중구형 초등돌봄교실' 업무협약...",2019.10.31,에듀인뉴스,http://www.eduinnews.co.kr/news/articleView.html?idxno=22477
"부산 중구, 영주동 도시재생 주민공모 프로그램 참여자 모집",2020.05.07,뉴스핌,http://www.newspim.com/news/view/20200507000511
“중구 동마다 '풀뿌리 복지 공화국' 세울 것”,2018.11.01,한겨레,http://www.seouland.com/arti/society/society_general/4117.html
내년 2학기부터 초등 돌봄 원스톱 서비스 제공,2019.11.13,베이비타임즈,http://www.babytimes.co.kr/news/articleView.html?idxno=30922
