제목,날짜,신문사,링크
[재무상담] 아이 대학 갈 확률 vs 아플 확률…어디에 돈 낼까,2018.03.02,SBS CNBC,https://cnbc.sbs.co.kr/article_hub/10000893761?division=NAVER
"'우리 아이 세 살 육아, 아이평생 좌우한다'",2020.02.25,경인매일,http://www.kmaeil.com/news/articleView.html?idxno=212426
새로운 것에 적응하기까지 시간이 오래 걸리는 아이,2018.06.29,베이비뉴스,http://www.ibabynews.com/news/articleView.html?idxno=66323
[W스타트업] “1대1 맞춤형 교육으로 키움을 돕습니다”,2017.09.14,여성신문,http://www.womennews.co.kr/news/117002
"광양시, 다같이 키움애 프로젝트사업 '가족애(愛) 키움스쿨' 실시",2019.12.03,시사매거진,http://www.sisamagazine.co.kr/news/articleView.html?idxno=305202
"3년의 희망키움, 커지는 내일의 꿈",2013.02.25,정책브리핑,http://www.korea.kr/policy/pressReleaseView.do?newsId=155879005
[티브로드]<서울>코로나19 서울확진자 '100명 육박'...중증환자 4명,2020.03.03,SK브로드밴드,http://ch1.tbroad.com/content/view?parent_no=24&content_no=54&p_no=98563
"모든 아이들이 잘 놀고 건강한, 아동친화도시 전주가 '야호'",2018.02.13,새전북신문,http://www.sjbnews.com/news/articleView.html?idxno=603882
"[뉴스워치] 서울시, 국공립 어린이집 확충…실제 성과는?",2019.03.06,연합뉴스TV,http://www.yonhapnewstv.co.kr/MYH20190306015400038/?did=1825m
"""어디서나 잘 어울리고 밝은 아이! 집중력만 좀 더 있었으면...""",2018.06.28,베이비뉴스,http://www.ibabynews.com/news/articleView.html?idxno=66322
"구리 남양주교육지원청, 위센터 꿈키움 멘토단 위촉",2018.05.02,신아일보,http://www.shinailbo.co.kr/news/articleView.html?idxno=1068679
"경남 남해군, '우리 아이 함께 키움터' 개소",2015.03.30,베이비뉴스,http://www.ibabynews.com/news/newsview.aspx?newscode=201503301802279702103642&categorycode=0005
"서천군, 상반기 서천애 키움학교 수강생 모집",2018.02.18,충남일보,http://www.chungnamilbo.com/news/articleView.html?idxno=435260
"양양 무산지역아동센터 설립 10주년 - ""함께 사랑하고 자라는 꿈 키움터""",2017.10.29,BBS NEWS,http://news.bbsi.co.kr/news/articleView.html?idxno=849160
우리 아이 특성에 맞는 놀이방법 배워보세요,2018.05.03,환경일보,http://www.hkbs.co.kr/news/articleView.html?idxno=466955
부모님 우리아이 마음읽기 해봐요!,2015.08.06,브레이크뉴스,http://www.breaknews.com/sub_read.html?uid=386027§ion=sc2
"강동구, '우리아이 마음키움' 공개강좌 진행",2014.12.10,환경일보,http://www.hkbs.co.kr/?m=bbs&bid=envplus4&uid=332726
신안 섬마을 아이들 ‘자유학기제’ 봄날을 맞다,2015.04.03,정책브리핑,http://www.korea.kr/policy/societyView.do?newsId=148793242&call_from=naver_news
"[2018여성포럼]文대통령 ""유리천장 깨야 국가경쟁력도 높아져""(종합)",2018.11.08,아시아경제,http://view.asiae.co.kr/news/view.htm?idxno=2018110810133092059
"안산시, 지역교육 공동체 교육포럼 개최",2017.12.13,인천일보,http://www.incheonilbo.com/?mod=news&act=articleView&idxno=791204
“중구 마을교육공동체 만들어갈 소중한 경험 쌓아 왔다”,2019.05.08,울산저널,http://www.usjournal.kr/news/newsview.php?ncode=1065612617959803
우리 아이 정신건강 이렇게 살펴주세요,2014.12.11,아시아경제,http://view.asiae.co.kr/news/view.htm?idxno=2014121021544176092
