제목,날짜,신문사,링크
[서울]5·6차 감염 확산...강서 학원강사도 확진,2020.05.25,SK브로드밴드,http://ch1.skbroadband.com/content/view?parent_no=24&content_no=54&p_no=102945
구로·금천·은평 확진자 추가…쿠팡 물류센터 직원 접촉·이태원發 6차 감염,2020.05.26,이데일리,http://www.edaily.co.kr/news/newspath.asp?newsid=03614566625772856
식당·학원 서울 곳곳 끊이지 않는 N차감염,2020.05.25,뉴스토마토,http://www.newstomato.com/ReadNews.aspx?no=974016
국내 코로나19 확진자 16명↑…나흘 만에 10명대로,2020.05.25,노컷뉴스,https://www.nocutnews.co.kr/news/5348962
코로나 확진자 여파...제주 한림지역 모든 학교 등교 '올스톱',2020.07.17,BBS NEWS,http://news.bbsi.co.kr/news/articleView.html?idxno=996328
[속보] 서울 성동구서 11명 무더기 확진…이태원 클럽 n차 감염,2020.05.26,헤럴드경제,http://news.heraldcorp.com/view.php?ud=20200526000552
"[신종 코로나바이러스 감염증 확산 우려] 교육부, 대학에 개학연기 권고한다",2020.02.05,내일신문,http://www.naeil.com/news_view/?id_art=339687
[Who Is ?] 박원순 서울특별시 시장,2019.04.22,비즈니스포스트,http://www.businesspost.co.kr/BP?command=article_view&num=124134
제주 한림지역 10일 만에 등교 재개 …“학교 방역 믿고 보내요”,2020.07.27,뉴시스,http://www.newsis.com/view/?id=NISX20200727_0001108760&cID=10899&pID=10800
"함께 고민하는 돌봄, 더 살고 싶어지는 우리 마을",2018.10.22,오마이뉴스,http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002480799&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news
강서구 미술학원 강사 확진…인근 서울공진초 25일 돌봄 등 긴급 등교중지(종...,2020.05.24,뉴시스,http://www.newsis.com/view/?id=NISX20200524_0001035146&cID=14001&pID=14000
"'코로나19' 개학 연기에…맞벌이 학부모들 ""눈앞이 캄캄해""",2020.02.24,연합뉴스,http://yna.kr/AKR20200224164200004?did=1195m
오늘 전국 383개 학교 등교 중지…제주 한림지역 14개교 모두 원격수업,2020.07.17,에듀인뉴스,http://www.eduinnews.co.kr/news/articleView.html?idxno=31441
[뉴스프리즘] 성큼 다가온 인구절벽 재앙…돌파구 어디에?,2019.07.07,연합뉴스TV,http://www.yonhapnewstv.co.kr/MYH20190706008200038/?did=1825m
"서울상상나라, 특별전시 '상상 비밀노트' 오픈",2019.11.15,베이비뉴스,https://www.ibabynews.com/news/articleView.html?idxno=79801
[Who Is ?] 박원순 서울시장,2018.05.16,비즈니스포스트,http://www.businesspost.co.kr/BP?command=article_view&num=82560
“과잉대응이 더 낫다”…서울시 행사 줄취소,23면1단  202,헤럴드경제,http://news.heraldcorp.com/view.php?ud=20200129000362
[코로나19] 서울 강서구 유치원생 확진...중랑구서 '6차 감염' 의심 사례 발생,2020.05.25,BBS NEWS,http://news.bbsi.co.kr/news/articleView.html?idxno=988353
"이태원→인천, 다시 서울 거쳐 전국으로",2020.05.25,내일신문,http://www.naeil.com/news_view/?id_art=350460
"[브리핑]김이수 부결, 박성진은 낙마 '책임 공방'",24  2017.0,아이뉴스24,http://www.inews24.com/php/news_view.php?g_serial=1048726&g_menu=022600&rrf=nv
"여가부, '가족센터' 전국적으로 확대…""맞춤형 가족서비스 제공""",2019.11.21,프레스나인,http://www.ciobiz.co.kr/news/articleView.html?idxno=40373
"조희연 교육감, 서울 20개 구청장과 '무상급식 확대' 논의",2018.08.22,뉴시스,http://www.newsis.com/view/?id=NISX20180822_0000396806&cID=10201&pID=10200
